"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.424572460E-1,-6.390000344E-4,2.445999999E-3,-9.520000312E-4,2.701396138E-3
2.449901110E-1,-3.834000090E-3,3.510999959E-3,1.178000006E-3,5.330512303E-3
2.475393810E-1,-6.390000344E-4,1.381000038E-3,2.243000083E-3,2.710448583E-3
2.501129230E-1,4.259999259E-4,1.381000038E-3,2.243000083E-3,2.668274051E-3
2.526308400E-1,1.490999945E-3,3.160000779E-4,3.308000043E-3,3.642224755E-3
2.551506310E-1,-1.703999937E-3,3.160000779E-4,1.130000455E-4,1.736732807E-3
2.576955790E-1,-2.769000130E-3,4.575999919E-3,1.178000006E-3,5.476752778E-3
2.602507880E-1,3.621000098E-3,3.510999959E-3,4.373000003E-3,6.675469381E-3
2.627687040E-1,4.259999259E-4,1.381000038E-3,1.178000006E-3,1.864489489E-3
2.652946940E-1,4.259999259E-4,3.510999959E-3,-2.016999992E-3,4.071472168E-3
2.678213610E-1,-3.834000090E-3,6.706000306E-3,1.178000006E-3,7.813941439E-3
2.703766730E-1,-2.769000130E-3,7.771000266E-3,2.243000083E-3,8.549085110E-3
2.729412040E-1,-3.834000090E-3,3.510999959E-3,2.243000083E-3,5.661954325E-3
2.754591210E-1,-2.769000130E-3,1.381000038E-3,1.178000006E-3,3.310922355E-3
2.779867770E-1,-1.703999937E-3,-7.490001153E-4,1.178000006E-3,2.202793901E-3
2.805496940E-1,-1.703999937E-3,1.381000038E-3,1.178000006E-3,2.489670842E-3
2.830676110E-1,-3.834000090E-3,-7.490001153E-4,1.178000006E-3,4.080225714E-3
2.855936000E-1,-1.703999937E-3,-7.490001153E-4,1.178000006E-3,2.202793901E-3
2.881563090E-1,-1.703999937E-3,2.445999999E-3,3.308000043E-3,4.453021004E-3
2.907093290E-1,-1.703999937E-3,1.381000038E-3,2.243000083E-3,3.137168510E-3
2.932272460E-1,-1.703999937E-3,1.381000038E-3,-2.016999992E-3,2.979776142E-3
2.957572980E-1,-6.390000344E-4,5.641000345E-3,2.243000083E-3,6.104117898E-3
2.982801630E-1,4.259999259E-4,3.160000779E-4,2.243000083E-3,2.304860377E-3
3.008392250E-1,-2.769000130E-3,3.160000779E-4,1.130000455E-4,2.789262766E-3
3.033571420E-1,-6.390000344E-4,1.381000038E-3,2.243000083E-3,2.710448583E-3
3.058830270E-1,4.259999259E-4,2.445999999E-3,3.308000043E-3,4.136091901E-3
3.084442250E-1,-1.703999937E-3,3.160000779E-4,1.178000006E-3,2.095508494E-3
3.109862560E-1,-2.769000130E-3,-1.814000076E-3,1.178000006E-3,3.513636579E-3
3.135041730E-1,-2.769000130E-3,2.445999999E-3,3.308000043E-3,4.959147305E-3
3.160216210E-1,-1.703999937E-3,3.510999959E-3,2.243000083E-3,4.501309350E-3
3.185789130E-1,-1.703999937E-3,3.510999959E-3,1.130000455E-4,3.904293215E-3
3.211305790E-1,4.259999259E-4,3.510999959E-3,1.178000006E-3,3.727771541E-3
3.236484960E-1,2.555999905E-3,-7.490001153E-4,1.130000455E-4,2.665878035E-3
3.261965170E-1,-2.769000130E-3,1.381000038E-3,-2.016999992E-3,3.693617710E-3
3.287481840E-1,-3.834000090E-3,1.381000038E-3,-2.016999992E-3,4.546977761E-3
3.312661000E-1,4.259999259E-4,1.381000038E-3,1.178000006E-3,1.864489489E-3
3.337964650E-1,-1.703999937E-3,-7.490001153E-4,1.178000006E-3,2.202793901E-3
3.363451630E-1,4.259999259E-4,3.160000779E-4,2.243000083E-3,2.304860377E-3
3.389045380E-1,-6.390000344E-4,3.510999959E-3,1.178000006E-3,3.758074742E-3
3.414224540E-1,-6.390000344E-4,3.160000779E-4,2.243000083E-3,2.353556131E-3
3.439665170E-1,-1.703999937E-3,2.445999999E-3,3.308000043E-3,4.453021004E-3
3.464876110E-1,-2.769000130E-3,5.641000345E-3,1.130000455E-4,6.284983343E-3
3.490495380E-1,-6.390000344E-4,2.445999999E-3,1.130000455E-4,2.530613769E-3
3.515674540E-1,-1.703999937E-3,3.160000779E-4,1.178000006E-3,2.095508494E-3
3.540731310E-1,-2.769000130E-3,3.510999959E-3,1.130000455E-4,4.472946617E-3
3.566076630E-1,2.555999905E-3,1.381000038E-3,1.178000006E-3,3.134961026E-3
3.591756840E-1,-1.703999937E-3,-1.814000076E-3,-9.520000312E-4,2.664679365E-3
3.616936000E-1,-2.769000130E-3,2.445999999E-3,-9.520000312E-4,3.815308870E-3
3.642407880E-1,-2.769000130E-3,2.445999999E-3,2.243000083E-3,4.322190079E-3
3.667816210E-1,-6.390000344E-4,1.381000038E-3,2.243000083E-3,2.710448583E-3
3.693176630E-1,-6.390000344E-4,1.381000038E-3,1.178000006E-3,1.924361235E-3
3.718355790E-1,-2.769000130E-3,3.510999959E-3,1.178000006E-3,4.624085471E-3
3.743863090E-1,-2.769000130E-3,1.381000038E-3,-9.520000312E-4,3.237410521E-3
3.769172980E-1,-1.703999937E-3,1.381000038E-3,1.130000455E-4,2.196257248E-3
3.794409440E-1,-1.703999937E-3,2.445999999E-3,-9.520000312E-4,3.129350705E-3
3.820050590E-1,-3.834000090E-3,3.510999959E-3,1.130000455E-4,5.199946770E-3
3.845229750E-1,-1.703999937E-3,2.445999999E-3,1.178000006E-3,3.205341759E-3
3.870488610E-1,1.490999945E-3,2.445999999E-3,2.243000083E-3,3.638275168E-3
3.895944860E-1,-3.834000090E-3,2.445999999E-3,1.178000006E-3,4.697888536E-3
3.921593290E-1,-2.769000130E-3,3.510999959E-3,1.130000455E-4,4.472946617E-3
3.946867250E-1,-3.834000090E-3,4.575999919E-3,1.130000455E-4,5.970938030E-3
3.972046420E-1,-2.769000130E-3,2.445999999E-3,5.437999964E-3,6.574353300E-3
3.997339130E-1,-1.703999937E-3,4.575999919E-3,1.130000455E-4,4.884276820E-3
4.023102670E-1,4.259999259E-4,3.160000779E-4,1.178000006E-3,1.291904021E-3
4.048557360E-1,-2.769000130E-3,2.445999999E-3,3.308000043E-3,4.959147305E-3
4.073736520E-1,4.259999259E-4,3.510999959E-3,2.243000083E-3,4.188036058E-3
4.098806310E-1,4.259999259E-4,3.510999959E-3,1.130000455E-4,3.538554176E-3
4.124278190E-1,-1.703999937E-3,4.575999919E-3,3.308000043E-3,5.897987397E-3
4.149499020E-1,-6.390000344E-4,4.575999919E-3,3.308000043E-3,5.682513580E-3
4.175444340E-1,4.259999259E-4,3.510999959E-3,-3.082000185E-3,4.691196200E-3
4.200623500E-1,4.259999259E-4,4.575999919E-3,1.130000455E-4,4.597175242E-3
4.225674540E-1,4.259999259E-4,3.510999959E-3,1.178000006E-3,3.727771541E-3
4.250930790E-1,4.259999259E-4,5.641000345E-3,1.130000455E-4,5.658191393E-3
4.276816210E-1,-1.703999937E-3,2.445999999E-3,1.178000006E-3,3.205341759E-3
4.301995380E-1,4.259999259E-4,3.510999959E-3,-9.520000312E-4,3.662635760E-3
4.327304750E-1,1.490999945E-3,-7.490001153E-4,1.178000006E-3,2.042490152E-3
4.352779230E-1,-6.390000344E-4,-7.490001153E-4,2.243000083E-3,2.449565592E-3
4.378339130E-1,-6.390000344E-4,1.381000038E-3,2.243000083E-3,2.710448583E-3
4.403518290E-1,-1.703999937E-3,1.381000038E-3,1.178000006E-3,2.489670842E-3
4.428607880E-1,4.259999259E-4,-7.490001153E-4,-9.520000312E-4,1.284048741E-3
4.454200060E-1,1.490999945E-3,-7.490001153E-4,1.178000006E-3,2.042490152E-3
4.479595380E-1,4.259999259E-4,3.160000779E-4,1.130000455E-4,5.423107932E-4
4.504966730E-1,-6.390000344E-4,3.510999959E-3,-9.520000312E-4,3.693473408E-3
4.530145900E-1,-6.390000344E-4,2.445999999E-3,1.130000455E-4,2.530613769E-3
4.555664130E-1,-1.703999937E-3,3.160000779E-4,-9.520000312E-4,1.977315325E-3
4.581045380E-1,4.259999259E-4,3.510999959E-3,-2.016999992E-3,4.071472168E-3
4.606641730E-1,1.490999945E-3,3.510999959E-3,-9.520000312E-4,3.931476263E-3
4.631820900E-1,-6.390000344E-4,1.381000038E-3,1.178000006E-3,1.924361235E-3
4.657041730E-1,-1.703999937E-3,4.575999919E-3,3.308000043E-3,5.897987397E-3
4.682162560E-1,-3.834000090E-3,2.445999999E-3,1.130000455E-4,4.549202314E-3
4.707997460E-1,-1.703999937E-3,1.381000038E-3,1.178000006E-3,2.489670842E-3
4.733475590E-1,2.555999905E-3,1.381000038E-3,1.130000455E-4,2.907415627E-3
4.758654750E-1,4.259999259E-4,3.510999959E-3,1.178000006E-3,3.727771541E-3
4.783687560E-1,-6.390000344E-4,5.641000345E-3,-9.520000312E-4,5.756345195E-3
4.809367770E-1,-1.703999937E-3,4.575999919E-3,-2.016999992E-3,5.283150576E-3
4.834910480E-1,4.259999259E-4,3.160000779E-4,1.130000455E-4,5.423107932E-4
4.860153710E-1,-6.390000344E-4,3.160000779E-4,1.178000006E-3,1.376902722E-3
4.885332880E-1,-1.703999937E-3,2.445999999E-3,2.243000083E-3,3.730627447E-3
4.910755270E-1,-2.769000130E-3,5.641000345E-3,2.243000083E-3,6.672278171E-3
4.936057360E-1,-1.703999937E-3,3.510999959E-3,2.243000083E-3,4.501309350E-3
4.961572460E-1,-2.769000130E-3,1.381000038E-3,1.130000455E-4,3.096335226E-3
4.986751630E-1,-6.390000344E-4,-7.490001153E-4,1.178000006E-3,1.535254451E-3
5.012169860E-1,-6.390000344E-4,3.160000779E-4,1.130000455E-4,7.217659617E-4
5.037613610E-1,-6.390000344E-4,3.510999959E-3,1.178000006E-3,3.758074742E-3
5.062934960E-1,-6.390000344E-4,2.445999999E-3,1.178000006E-3,2.789071719E-3
5.088712040E-1,-6.390000344E-4,4.575999919E-3,1.130000455E-4,4.621781617E-3
5.113891210E-1,-1.703999937E-3,1.381000038E-3,1.178000006E-3,2.489670842E-3
5.139178190E-1,2.555999905E-3,3.160000779E-4,4.373000003E-3,5.075048827E-3
